variable,explained,unexplained
Quant,0.023139869540355674,0.05982058189911463
10percentage,-0.020190653634967623,-0.120069092940636
collegeGPA,-0.01914655501967127,0.1477477793858318
12percentage,-0.013539800436518082,0.0787232565583951
spec,-0.011326157141990069,-0.011837890183798196
CollegeTier,0.005498681224031132,-0.09102035203310599
age,0.0006592345215389964,-0.5980347831630912
English,-0.00018811192578925526,0.11827280130782244
Logical,0.0001650184076397095,-0.27532454246739446
const,0.0,0.7616052132850335
