,CV_AUROC_mean,CV_AUROC_std
EBM,0.786256963835235,0.02314632815340376
RandomForest,0.7857326669306878,0.0234869794859983
LogReg,0.7813556759803733,0.020179664077577184
CatBoost,0.7758101899893667,0.022395075264840917
MLP,0.7727247145480642,0.020110089100834654
XGBoost,0.7714511792107328,0.023611714359288615
ExtraTrees,0.7681212725817421,0.01671781835332468
SVM-RBF,0.767024067696349,0.024477104908936904
LightGBM,0.7630918364561906,0.021097421607999867
HistGB,0.7612707837249368,0.02170610867753199
kNN,0.7573056590195236,0.023862585833739815
DecisionTree,0.6981365412455,0.024604837682316864
GaussianNB,0.6945546882963453,0.018353342716995086
