column,dtype,n_missing,pct_missing,n_unique
Gender,object,0,0.0,2
DOB,datetime64[ns],0,0.0,1872
10percentage,float64,0,0.0,851
10board,object,0,0.0,273
12graduation,int64,0,0.0,16
12percentage,float64,0,0.0,801
12board,object,0,0.0,337
CollegeTier,int64,0,0.0,2
Degree,object,0,0.0,4
Specialization,object,0,0.0,46
collegeGPA,float64,0,0.0,1282
CollegeCityTier,int64,0,0.0,2
CollegeState,object,0,0.0,26
GraduationYear,float64,1,0.03,10
English,int64,0,0.0,111
Logical,int64,0,0.0,107
Quant,int64,0,0.0,138
Domain,float64,246,6.15,242
ComputerProgramming,float64,868,21.71,78
ElectronicsAndSemicon,float64,2854,71.39,28
ComputerScience,float64,3096,77.44,19
MechanicalEngg,float64,3763,94.12,41
ElectricalEngg,float64,3837,95.97,30
TelecomEngg,float64,3624,90.65,25
CivilEngg,float64,3956,98.95,22
conscientiousness,float64,0,0.0,141
agreeableness,float64,0,0.0,149
extraversion,float64,0,0.0,154
nueroticism,float64,0,0.0,217
openess_to_experience,float64,0,0.0,142
high_salary,int32,0,0.0,2
log_salary,float64,0,0.0,177
designation_text,object,0,0.0,418
age_at_grad,float64,1,0.03,13
Domain_missing,int32,0,0.0,2
ComputerProgramming_missing,int32,0,0.0,2
ElectronicsAndSemicon_missing,int32,0,0.0,2
ComputerScience_missing,int32,0,0.0,2
MechanicalEngg_missing,int32,0,0.0,2
ElectricalEngg_missing,int32,0,0.0,2
TelecomEngg_missing,int32,0,0.0,2
CivilEngg_missing,int32,0,0.0,2
