threshold,NB_model,NB_treat_all,NB_treat_none
0.2,0.3406,0.3266,0.0
0.22,0.3251,0.3093,0.0
0.24,0.3153,0.2911,0.0
0.26,0.3053,0.272,0.0
0.28,0.2899,0.2517,0.0
0.3,0.2745,0.2304,0.0
0.32,0.2666,0.2077,0.0
0.34,0.2538,0.1837,0.0
0.36,0.2339,0.1582,0.0
0.38,0.2285,0.131,0.0
0.4,0.2113,0.1021,0.0
0.42,0.2027,0.0711,0.0
0.44,0.1957,0.0379,0.0
0.46,0.1921,0.0023,0.0
0.48,0.1799,-0.0361,0.0
0.5,0.1663,-0.0775,0.0
0.52,0.1592,-0.1224,0.0
0.54,0.1511,-0.1712,0.0
0.56,0.1484,-0.2244,0.0
0.58,0.13,-0.2827,0.0
0.6,0.1213,-0.3469,0.0
0.62,0.114,-0.4178,0.0
0.64,0.1056,-0.4965,0.0
0.66,0.1108,-0.5846,0.0
0.68,0.0945,-0.6836,0.0
0.7,0.0867,-0.7958,0.0
