Specialization,Gender,n,Positive rate,small cell (<30)
electronics and communication engi,male,130,0.431,
electronics and communication engi,female,38,0.421,
computer science & engineering,male,123,0.382,
computer science & engineering,female,39,0.231,
information technology,male,100,0.51,
information technology,female,32,0.594,
computer engineering,male,90,0.633,
computer engineering,female,35,0.486,
computer application,male,43,0.279,
computer application,female,12,0.417,yes
electronics and electrical enginee,male,31,0.355,
electronics and electrical enginee,female,4,0.75,yes
